Qty-1,Part References,Value,Mfg Part Num,Mfg Name,Vendor Part Num,Description
2,"J10, J7",,68000-103HLF,Amphenol FCI,609-3461-ND,"BERGSTIK II .100"""" SR STRAIGHT"
2,"C7, C8",0.1uF,CL10B104KB8NNNC,Samsung Electro-Mechanics America,1276-1000-1-ND,CAP CER 0.1UF 50V 10% X7R 0603
1,R7,2.55k,ERJ-3EKF2551V,Panasonic Electronic Components,P2.55KHCT-ND,RES SMD 2.55K OHM 1% 1/10W 0603
1,J9,3V3 EXT,20020327-C021B01LF,FCI,609-4725-ND,3.5MM TERMINAL BLOCK -55~110C
1,R6,10.2k,ERJ-3EKF1022V,Panasonic Electronic Components,P10.2KHCT-ND,RES SMD 10.2K OHM 1% 1/10W 0603
3,"C12, C9, C10",22uF,TLJA476M010R0600,AVX Corporation,478-9009-1-ND,CAP TANT 47UF 10V 20% 1206
1,R5,31.6k,ERJ-3EKF3162V,Panasonic Electronic Components,P31.6KHCT-ND,RES SMD 31.6K OHM 1% 1/10W 0603
1,J1,A3-16PA-2SV(71)T,A3-16PA-2SV(71),Hirose Electric Co Ltd,H10940-ND,CONN HEADER 16POS 2MM GOLD SMD
1,U1,ADP2303,ADP2303ARDZ,Analog Devices Inc,ADP2303ARDZ-ND,IC REG BUCK ADJ 3A 8SOIC
1,J4,AVR_SPI_PRG_6PTH,M20-9720345,Harwin Inc,952-1921-ND,2X3POS DIL VERTICAL PIN HEADER
1,L1,CLF6045T-6R8N-H,CLF6045T-6R8N-H,TDK Corporation,445-15108-1-ND,FIXED IND 6.8UH 2.9A 27 MOHM SMD
1,J11,M02PTH,68000-103HLF,Amphenol FCI,609-3461-ND,"BERGSTIK II .100"""" SR STRAIGHT"
1,U2,SIP32510,SIP32510DT-T1-GE3,Vishay Siliconix,SIP32510DT-T1-GE3CT-ND,IC LOAD SWITCH SOT23-6
2,"D1, D2",SSB43L-E3,SSB43L-E3/52T,Vishay Semiconductor Diodes Division,SSB43L-E3/52TGICT-ND,DIODE SCHOTTKY 30V 4A DO214AA
1,J3,,TEENSY32,pjrc.com,TEENSY32,Teensy USB Board Version 3.2
1,J8,,20020327-C021B01LF,FCI,609-4725-ND,3.5MM TERMINAL BLOCK -55~110C
